,Date,Action,Company,Target,Broker,Company Symbol,Price at Announcement,Updated Price
1,"March 05, 2021",Buy,Wipro,474, Prabhudas Lilladher,WIPRO.NS,420.8500061035156,420.8500061035156
2,"March 05, 2021",Hold,Wipro,450, Emkay Global Financial,WIPRO.NS,420.8500061035156,420.8500061035156
3,"March 05, 2021",Neutral,Wipro,450, Motilal Oswal,WIPRO.NS,420.8500061035156,420.8500061035156
4,"March 05, 2021",Buy,Endurance Technologies,1750, Motilal Oswal,ENDURANCE.NS,1405.0999755859375,1405.0999755859375
7,"March 05, 2021",Buy,Wipro,474, Prabhudas Lilladher,WIPRO.NS,420.8500061035156,420.8500061035156
8,"March 05, 2021",Hold,Wipro,450, Emkay Global Financial,WIPRO.NS,420.8500061035156,420.8500061035156
9,"March 05, 2021",Neutral,Wipro,450, Motilal Oswal,WIPRO.NS,420.8500061035156,420.8500061035156
10,"March 05, 2021",Buy,Endurance Technologies,1750, Motilal Oswal,ENDURANCE.NS,1405.0999755859375,1405.0999755859375
12,"March 04, 2021",Buy,Huhtamaki India,360, ICICI Direct,HUHTAMAKI.NS,286.79998779296875,286.79998779296875
13,"March 04, 2021",Buy,Voltas,1260, Dolat Capital Market,VOLTAS.NS,1072.5,1072.5
15,"March 04, 2021",Buy,CSB Bank,320, Dolat Capital Market,CSBBANK.NS,236.6999969482422,236.6999969482422
17,"March 03, 2021",Buy,Firstsource Solutions,125, Emkay Global Financial,FSL.NS,101.6500015258789,101.6500015258789
18,"March 03, 2021",Buy,Firstsource Solutions,125, Emkay Global Financial,FSL.NS,101.6500015258789,101.6500015258789
20,"March 02, 2021",Reduce,Amara Raja Batteries,800, ICICI Direct,AMARAJABAT.NS,908.25,908.25
21,"March 02, 2021",Buy,Aditya Birla Fashion and Retail,225, ICICI Direct,ABFRL.NS,206.1499938964844,206.1499938964844
22,"March 02, 2021",Buy,Tata Motors,375, ICICI Direct,TATAMTRDVR.NS,139.89999389648438,139.89999389648438
23,"March 02, 2021",Buy,Bharat Petroleum Corporation,505, Prabhudas Lilladher,BPCL.NS,469.0,469.0
24,"March 02, 2021",Reduce,Tata Motors,255, Prabhudas Lilladher,TATAMTRDVR.NS,139.89999389648438,139.89999389648438
25,"March 02, 2021",Accumulate,Nestle India,"17,364", Prabhudas Lilladher,NESTLEIND.NS,16576.150390625,16576.150390625
26,"March 02, 2021",Buy,Jamna Auto Industries,99, Dolat Capital Market,JAMNAAUTO.NS,68.90000152587889,68.90000152587889
27,"March 02, 2021",Buy,Tata Motors,375, Emkay Global Financial,TATAMTRDVR.NS,139.89999389648438,139.89999389648438
28,"March 02, 2021",Buy,Bharat Petroleum Corporation,495, Emkay Global Financial,BPCL.NS,469.0,469.0
29,"March 02, 2021",Neutral,SBI Cards and Payment Services,1200, Motilal Oswal,SBICARD.NS,1108.1500244140623,1108.1500244140623
32,"March 01, 2021",Buy,Tata Motors,400, Motilal Oswal,TATAMTRDVR.NS,132.0,132.0
34,"February 26, 2021",Buy,Mahindra CIE Automotive,220, ICICI Direct,MAHINDCIE.NS,180.6999969482422,180.6999969482422
35,"February 26, 2021",Buy,Sanofi India,9820, ICICI Direct,SANOFI.NS,8269.7001953125,8269.7001953125
36,"February 26, 2021",Hold,Sundaram Finance,2450, ICICI Direct,SUNDARMHLD.NS,84.1500015258789,84.1500015258789
37,"February 26, 2021",Buy,NTPC,141, Motilal Oswal,NTPC.NS,107.3000030517578,107.3000030517578
38,"February 26, 2021",Buy,KNR Constructions,259, Geojit,KNRCON.NS,206.6000061035156,206.6000061035156
39,"February 25, 2021",Accumulate,Max Financial Services,995, Prabhudas Lilladher,MFSL.NS,889.0499877929688,889.0499877929688
40,"February 25, 2021",Buy,Bharat Forge,723, Geojit,BHARATFORG.NS,620.8499755859375,620.8499755859375
41,"February 25, 2021",Buy,IRCTC,2650, Dolat Capital Market,IRCTC.NS,1726.949951171875,1726.949951171875
42,"February 25, 2021",Buy,NBCC,45, Geojit,NBCC.NS,42.349998474121094,42.349998474121094
43,"February 25, 2021",Buy,Amara Raja Batteries,1129, Geojit,AMARAJABAT.NS,890.3499755859375,890.3499755859375
45,"February 25, 2021",Buy,Dilip Buildcon,753, Geojit,DBL.NS,667.0999755859375,667.0999755859375
47,"February 24, 2021",Buy,Torrent Power,437, Motilal Oswal,TORNTPOWER.NS,368.7999877929688,368.7999877929688
48,"February 24, 2021",Buy,Britannia,4120, Motilal Oswal,BRITANNIA.NS,3405.550048828125,3405.550048828125
49,"February 24, 2021",Buy,Mahindra CIE,223, Motilal Oswal,MAHINDCIE.NS,178.14999389648438,178.14999389648438
50,"February 24, 2021",Buy,Hindalco,390, Motilal Oswal,HINDALCO.NS,332.79998779296875,332.79998779296875
53,"February 23, 2021",Reduce,Tata Motors,255, Prabhudas Lilladher,TATAMTRDVR.NS,124.1999969482422,124.1999969482422
55,"February 23, 2021",Buy,Hindalco Industries,360, Prabhudas Lilladher,HINDALCO.NS,333.04998779296875,333.04998779296875
56,"February 23, 2021",Buy,Ambuja Cements,349, Arihant Capital,AMBUJACEM.NS,264.70001220703125,264.70001220703125
57,"February 23, 2021",Buy,Voltamp Transformers,1374, Arihant Capital,VOLTAMP.NS,1131.25,1131.25
58,"February 23, 2021",Buy,NCC,120, Geojit,NCC.NS,88.69999694824219,88.69999694824219
61,"February 22, 2021",Buy,Ambuja Cements,308, HDFC Securities,AMBUJACEM.NS,266.95001220703125,266.95001220703125
62,"February 22, 2021",Neutral,Ambuja Cements,275, Motilal Oswal,AMBUJACEM.NS,266.95001220703125,266.95001220703125
63,"February 22, 2021",Hold,Ashok Leyland,120, SPA Securities,ASHOKLEY.NS,122.1500015258789,122.1500015258789
64,"February 22, 2021",Buy,Escorts,1577, SPA Securities,ESCORTS.NS,1282.800048828125,1282.800048828125
65,"February 22, 2021",Hold,City Union Bank,186, Arihant Capital,CUB.NS,160.0,160.0
66,"February 22, 2021",Buy,Sterling Tools,274, Dolat Capital Market,STERTOOLS.NS,217.25,217.25
67,"February 22, 2021",Buy,Nestle India,"18,490", Geojit,NESTLEIND.NS,16096.2998046875,16096.2998046875
68,"February 22, 2021",Accumulate,Ambuja Cement,290, Dolat Capital Market,AMBUJACEM.NS,266.95001220703125,266.95001220703125
69,"February 22, 2021",Buy,ONGC,130, Emkay Global Financial,ONGC.NS,106.3000030517578,106.3000030517578
71,"February 19, 2021",Buy,Repco Home Finance,400, Sharekhan,REPCOHOME.NS,350.95001220703125,350.95001220703125
72,"February 19, 2021",Buy,Finolex Cables,475, Sharekhan,FINCABLES.NS,376.1000061035156,376.1000061035156
73,"February 19, 2021",Buy,Schaeffler India,5900, Sharekhan,SCHAEFFLER.NS,5206.25,5206.25
74,"February 19, 2021",Buy,Vinati Organics,1750, Sharekhan,VINATIORGA.NS,1416.4000244140625,1416.4000244140625
75,"February 19, 2021",Buy,LIC Housing Finance,610, Sharekhan,LICHSGFIN.NS,449.2999877929688,449.2999877929688
76,"February 19, 2021",Buy,Cholamandalam Investment and Finance Company,580, Sharekhan,CHOLAFIN.NS,530.3499755859375,530.3499755859375
77,"February 19, 2021",Buy,GNA Axles,490, Sharekhan,GNA.NS,408.70001220703125,408.70001220703125
78,"February 19, 2021",Buy,TVS Motor Company,688, Sharekhan,TVSMOTOR.NS,606.25,606.25
79,"February 19, 2021",Buy,Bajaj Auto,4589, Sharekhan,BAJAJ-AUTO.NS,4001.10009765625,4001.10009765625
80,"February 19, 2021",Buy,Repco Home Finance,430, Motilal Oswal,REPCOHOME.NS,350.95001220703125,350.95001220703125
81,"February 19, 2021",Buy,Gujarat Gas,560, Motilal Oswal,GUJGASLTD.NS,495.8500061035156,495.8500061035156
82,"February 19, 2021",Neutral,PVR,1620, Motilal Oswal,PVR.NS,1476.75,1476.75
83,"February 19, 2021",Hold,Nestle India,"16,200", Emkay Global Financial,NESTLEIND.NS,16376.400390625,16376.400390625
84,"February 19, 2021",Buy,Repco Home Finance,430, Motilal Oswal,REPCOHOME.NS,350.95001220703125,350.95001220703125
85,"February 19, 2021",Buy,Gujarat Gas,560, Motilal Oswal,GUJGASLTD.NS,495.8500061035156,495.8500061035156
86,"February 19, 2021",Neutral,PVR,1620, Motilal Oswal,PVR.NS,1476.75,1476.75
87,"February 19, 2021",Hold,Nestle India,"16,200", Emkay Global Financial,NESTLEIND.NS,16376.400390625,16376.400390625
88,"February 19, 2021",Buy,Varun Beverages,1030, Emkay Global Financial,VBL.NS,974.0499877929688,974.0499877929688
89,"February 19, 2021",Buy,Coal India,155, Geojit,COALINDIA.NS,139.25,139.25
90,"February 18, 2021",Buy,Axis Bank,900, Sharekhan,AXISBANK.NS,777.0,777.0
91,"February 18, 2021",Buy,Nestle India,19055, Sharekhan,NESTLEIND.NS,16364.7001953125,16364.7001953125
92,"February 18, 2021",Buy,Sandhar Technologies,396, Dolat Capital Market,SANDHAR.NS,254.5500030517578,254.5500030517578
93,"February 18, 2021",Accumulate,Amara Raja Batteries,1024, Dolat Capital Market,AMARAJABAT.NS,891.7999877929688,891.7999877929688
94,"February 18, 2021",Accumulate,Nestle India,"17,667", Dolat Capital Market,NESTLEIND.NS,16364.7001953125,16364.7001953125
95,"February 18, 2021",Buy,IndusInd Bank,1195, Prabhudas Lilladher,INDUSINDBK.NS,1046.050048828125,1046.050048828125
96,"February 18, 2021",Buy,Repco Home Finance,375, YES Securities,REPCOHOME.NS,356.1000061035156,356.1000061035156
97,"February 18, 2021",Buy,ITC,265, Geojit,ITC.NS,218.8500061035156,218.8500061035156
98,"February 18, 2021",Buy,VA Tech Wabag,288, Geojit,WABAG.NS,244.3000030517578,244.3000030517578
99,"February 18, 2021",Buy,Graphite India,590, Anand Rathi,GRAPHITE.NS,472.3999938964844,472.3999938964844
100,"February 18, 2021",Buy,Hindustan Unilever,2524, Anand Rathi,HINDUNILVR.NS,2146.85009765625,2146.85009765625
101,"February 18, 2021",Buy,JMC Projects,101, Anand Rathi,JMCPROJECT.NS,76.30000305175781,76.30000305175781
102,"February 18, 2021",Hold,Graphite India,500, ICICI Direct,GRAPHITE.NS,472.3999938964844,472.3999938964844
103,"February 18, 2021",Hold,Varun Beverages,965, ICICI Direct,VBL.NS,948.5999755859376,948.5999755859376
104,"February 18, 2021",Hold,NBCC,35, ICICI Direct,NBCC.NS,36.650001525878906,36.650001525878906
106,"February 18, 2021",Hold,Time Technoplast,58, ICICI Direct,TIMETECHNO.NS,55.4000015258789,55.4000015258789
107,"February 18, 2021",Buy,Indian Bank,180, ICICI Direct,SOUTHBANK.NS,8.949999809265137,8.949999809265137
109,"February 17, 2021",Buy,Voltas,1260, ICICI Direct,VOLTAS.NS,1032.0999755859377,1032.0999755859377
110,"February 17, 2021",Buy,Kalpataru Power,490, ICICI Direct,KALPATPOWR.NS,374.8999938964844,374.8999938964844
111,"February 17, 2021",Buy,Glenmark Pharmaceuticals,635, ICICI Direct,GLENMARK.NS,494.2999877929688,494.2999877929688
112,"February 17, 2021",Buy,Advanced Enzyme Technologies,480, ICICI Direct,ADVENZYMES.NS,368.0499877929688,368.0499877929688
113,"February 17, 2021",Sell,Vodafone Idea,6, ICICI Direct,IDEA.NS,11.899999618530273,11.899999618530273
116,"February 17, 2021",Buy,ITC,245, HDFC Securities,ITC.NS,217.75,217.75
118,"February 17, 2021",Buy,ACC,1985, HDFC Securities,ACC.NS,1819.75,1819.75
119,"February 17, 2021",Buy,Deccan Cement,535, HDFC Securities,DECCANCE.NS,412.25,412.25
120,"February 17, 2021",Buy,Dilip Buildcon,640, HDFC Securities,DBL.NS,561.25,561.25
121,"February 17, 2021",Buy,Phoenix Mills,982, HDFC Securities,PHOENIXLTD.NS,845.0499877929688,845.0499877929688
122,"February 17, 2021",Buy,Kalpataru Power Transmission,536, HDFC Securities,KALPATPOWR.NS,374.8999938964844,374.8999938964844
123,"February 17, 2021",Buy,Ahluwalia Contracts,388, HDFC Securities,AHLUCONT.NS,277.75,277.75
124,"February 17, 2021",Buy,Sobha,600, HDFC Securities,SOBHA.NS,457.45001220703125,457.45001220703125
125,"February 17, 2021",Buy,ITD Cementation,106, HDFC Securities,ITDCEM.NS,73.1500015258789,73.1500015258789
127,"February 16, 2021",Buy,KNR Constructions,270, Sharekhan,KNRCON.NS,220.0500030517578,220.0500030517578
128,"February 16, 2021",Buy,Ashok Leyland,151, Sharekhan,ASHOKLEY.NS,128.75,128.75
129,"February 16, 2021",Buy,Petronet LNG,300, Sharekhan,PETRONET.NS,242.8000030517578,242.8000030517578
130,"February 16, 2021",Buy,Grasim Industries,1430, Sharekhan,GRASIM.NS,1243.75,1243.75
131,"February 16, 2021",Buy,Coal India,160, Sharekhan,COALINDIA.NS,133.75,133.75
132,"February 16, 2021",Buy,Power Grid Corporation of India,245, Sharekhan,POWERGRID.NS,225.5500030517578,225.5500030517578
133,"February 16, 2021",Buy,Greaves Cotton,110, Sharekhan,GREAVESCOT.NS,98.9499969482422,98.9499969482422
134,"February 16, 2021",Buy,Suprajit Engineering,300, Sharekhan,SUPRAJIT.NS,254.9499969482422,254.9499969482422
135,"February 16, 2021",Buy,Bosch,18156, Sharekhan,BOSCHLTD.NS,15579.599609375,15579.599609375
136,"February 16, 2021",Buy,Repco Home Finance,330, Sharekhan,REPCOHOME.NS,271.0,271.0
137,"February 16, 2021",Buy,Gujarat State Petronet,300, Sharekhan,GSPL.NS,236.3000030517578,236.3000030517578
138,"February 16, 2021",Buy,Aurobindo Pharma,1100, Sharekhan,AUROPHARMA.NS,935.8499755859376,935.8499755859376
139,"February 16, 2021",Buy,ITC,265, Sharekhan,ITC.NS,218.25,218.25
140,"February 16, 2021",Buy,JK Cement,2643, Dolat Capital Market,JKLAKSHMI.NS,378.5499877929688,378.5499877929688
141,"February 16, 2021",Buy,State Bank of India,425, Dolat Capital Market,SBIN.NS,402.3500061035156,402.3500061035156
142,"February 16, 2021",Buy,Firstsource Solutions,150, Dolat Capital Market,FSL.NS,97.5,97.5
143,"February 16, 2021",Buy,Titan Company,1798, Dolat Capital Market,TITAN.NS,1471.8499755859375,1471.8499755859375
144,"February 16, 2021",Buy,NCC,108, Dolat Capital Market,NCC.NS,82.9000015258789,82.9000015258789
145,"February 16, 2021",Buy,Asahi India Glass,350, Dolat Capital Market,ASAHIINDIA.NS,283.1499938964844,283.1499938964844
146,"February 16, 2021",Buy,Kalpataru Power Transmission,450, Dolat Capital Market,KALPATPOWR.NS,371.1000061035156,371.1000061035156
147,"February 16, 2021",Buy,Voltas,1260, Dolat Capital Market,VOLTAS.NS,1037.6500244140623,1037.6500244140623
148,"February 16, 2021",Accumulate,Lumax Industries,1675, Dolat Capital Market,LUMAXIND.NS,1501.050048828125,1501.050048828125
149,"February 16, 2021",Accumulate,Ahluwalia Contracts,326, Dolat Capital Market,AHLUCONT.NS,290.6499938964844,290.6499938964844
150,"February 16, 2021",Accumulate,Dilip Buildcon,569, Dolat Capital Market,DBL.NS,554.7999877929689,554.7999877929689
151,"February 16, 2021",Accumulate,Bharat Forge,725, Dolat Capital Market,BHARATFORG.NS,630.75,630.75
152,"February 16, 2021",Accumulate,KNR Constructions,240, Dolat Capital Market,KNRCON.NS,220.0500030517578,220.0500030517578
153,"February 16, 2021",Accumulate,Petronet LNG,283, Dolat Capital Market,PETRONET.NS,242.8000030517578,242.8000030517578
154,"February 16, 2021",Reduce,Berger Paints,773, Dolat Capital Market,BERGEPAINT.NS,759.5499877929688,759.5499877929688
155,"February 16, 2021",Buy,Lumax Auto Technologies,194, Dolat Capital Market,LUMAXTECH.NS,131.19999694824222,131.19999694824222
156,"February 16, 2021",Buy,Ashok Leyland,149, Anand Rathi,ASHOKLEY.NS,128.75,128.75
157,"February 16, 2021",Buy,Mayur Uniquoters,474, Anand Rathi,MAYURUNIQ.NS,425.0,425.0
158,"February 16, 2021",Buy,Apollo Tyres,289, Geojit,APOLLOTYRE.NS,236.25,236.25
161,"February 15, 2021",Buy,TTK Prestige,8030, ICICI Direct,TTKPRESTIG.NS,7294.2001953125,7294.2001953125
162,"February 15, 2021",Buy,Titan Company,1830, ICICI Direct,TITAN.NS,1484.75,1484.75
163,"February 15, 2021",Buy,TCI Express,1150, ICICI Direct,TCIEXP.NS,944.1500244140624,944.1500244140624
164,"February 15, 2021",Buy,Phoenix Mills,950, ICICI Direct,PHOENIXLTD.NS,837.9500122070312,837.9500122070312
165,"February 15, 2021",Buy,Ashoka Buildcon,160, Prabhudas Lilladher,ASHOKA.NS,106.8000030517578,106.8000030517578
166,"February 15, 2021",Buy,NMDC,145, Prabhudas Lilladher,NMDC.NS,112.0999984741211,112.0999984741211
167,"February 15, 2021",Buy,Britannia Industries,4280, Prabhudas Lilladher,BRITANNIA.NS,3417.0,3417.0
168,"February 15, 2021",Buy,Muthoot Finance,1479, Prabhudas Lilladher,MUTHOOTFIN.NS,1321.199951171875,1321.199951171875
170,"February 15, 2021",Buy,Bharat Petroleum Corporation,505, Prabhudas Lilladher,BPCL.NS,419.0,419.0
171,"February 15, 2021",Buy,Indoco Remedies,358, Prabhudas Lilladher,INDOCO.NS,292.6000061035156,292.6000061035156
172,"February 15, 2021",Buy,J.Kumar Infraprojects,260, Prabhudas Lilladher,JKIL.NS,185.9499969482422,185.9499969482422
173,"February 15, 2021",Buy,Endurance Technologies,1662, Prabhudas Lilladher,ENDURANCE.NS,1501.300048828125,1501.300048828125
174,"February 15, 2021",Buy,Hindalco Industries,305, Prabhudas Lilladher,HINDALCO.NS,291.3999938964844,291.3999938964844
176,"February 15, 2021",Buy,ITC,254, Prabhudas Lilladher,ITC.NS,218.6000061035156,218.6000061035156
177,"February 15, 2021",Buy,NCC,111, Prabhudas Lilladher,NCC.NS,85.05000305175781,85.05000305175781
179,"February 15, 2021",Buy,Ashok Leyland,155, Prabhudas Lilladher,ASHOKLEY.NS,130.39999389648438,130.39999389648438
180,"February 15, 2021",Buy,Motherson Sumi Systems,247, Prabhudas Lilladher,MOTHERSUMI.NS,210.6999969482422,210.6999969482422
181,"February 15, 2021",Buy,NCC,110, ICICI Direct,NCC.NS,85.05000305175781,85.05000305175781
182,"February 15, 2021",Buy,Minda Industries,625, ICICI Direct,MINDAIND.NS,582.9000244140625,582.9000244140625
183,"February 15, 2021",Buy,Mahanagar Gas,1340, ICICI Direct,MGL.NS,1128.8499755859375,1128.8499755859375
184,"February 15, 2021",Buy,KNR Constructions,270, ICICI Direct,KNRCON.NS,219.0,219.0
185,"February 15, 2021",Buy,JK Cement,2950, ICICI Direct,JKLAKSHMI.NS,370.0499877929688,370.0499877929688
186,"February 15, 2021",Buy,Century Plyboards (India),355, ICICI Direct,CENTURYPLY.NS,309.29998779296875,309.29998779296875
187,"February 15, 2021",Buy,Caplin Point Laboratories,605, ICICI Direct,CAPLIPOINT.NS,475.8999938964844,475.8999938964844
188,"February 15, 2021",Buy,Aurobindo Pharma,1165, ICICI Direct,AUROPHARMA.NS,932.2000122070312,932.2000122070312
189,"February 15, 2021",Buy,Aster DM Healthcare,210, ICICI Direct,ASTERDM.NS,150.35000610351562,150.35000610351562
190,"February 15, 2021",Buy,Ashok Leyland,150, ICICI Direct,ASHOKLEY.NS,130.39999389648438,130.39999389648438
191,"February 15, 2021",Buy,Apollo Hospitals,3170, ICICI Direct,APOLLOHOSP.NS,3090.64990234375,3090.64990234375
192,"February 15, 2021",Buy,ACC,2250, ICICI Direct,ACC.NS,1788.050048828125,1788.050048828125
194,"February 12, 2021",Buy,Dhanuka Agritech,910, Emkay Global Financial,DHANUKA.NS,761.0999755859375,761.0999755859375
195,"February 12, 2021",Buy,Coromandel International,910, Emkay Global Financial,COROMANDEL.NS,756.25,756.25
196,"February 12, 2021",Buy,Gujarat Gas,475, Emkay Global Financial,GUJGASLTD.NS,449.3500061035156,449.3500061035156
198,"February 12, 2021",Buy,Indian Oil,110, Emkay Global Financial,IOC.NS,95.0999984741211,95.0999984741211
199,"February 12, 2021",Buy,Jindal Stainless,95, Emkay Global Financial,JSLHISAR.NS,124.1999969482422,124.1999969482422
200,"February 12, 2021",Accumulate,Suprajit Engineering,284, Dolat Capital Market,SUPRAJIT.NS,254.8000030517578,254.8000030517578
201,"February 12, 2021",Accumulate,PI Industries,2406, Dolat Capital Market,PIIND.NS,2225.0,2225.0
202,"February 12, 2021",Accumulate,City Union Bank,200, Dolat Capital Market,CUB.NS,162.9499969482422,162.9499969482422
203,"February 12, 2021",Accumulate,Astral Poly Technik,2146, Dolat Capital Market,ASTRAL.NS,1513.949951171875,1513.949951171875
204,"February 12, 2021",Accumulate,Ramco Systems,700, Dolat Capital Market,RAMCOSYS.NS,626.7000122070312,626.7000122070312
205,"February 12, 2021",Accumulate,HeidelbergCement India,263, Dolat Capital Market,HEIDELBERG.NS,230.1499938964844,230.1499938964844
206,"February 12, 2021",Accumulate,GAIL,157, Dolat Capital Market,GAIL.NS,132.89999389648438,132.89999389648438
207,"February 12, 2021",Accumulate,Astral Poly Technik,2146, Dolat Capital Market,ASTRAL.NS,1513.949951171875,1513.949951171875
208,"February 12, 2021",Accumulate,Ramco Systems,700, Dolat Capital Market,RAMCOSYS.NS,626.7000122070312,626.7000122070312
209,"February 12, 2021",Accumulate,HeidelbergCement India,263, Dolat Capital Market,HEIDELBERG.NS,230.1499938964844,230.1499938964844
210,"February 12, 2021",Accumulate,GAIL,157, Dolat Capital Market,GAIL.NS,132.89999389648438,132.89999389648438
211,"February 12, 2021",Accumulate,Indraprastha Gas,631, Dolat Capital Market,IGL.NS,559.7999877929689,559.7999877929689
212,"February 12, 2021",Accumulate,Bata India,1697, Dolat Capital Market,BATAINDIA.NS,1527.449951171875,1527.449951171875
213,"February 12, 2021",Accumulate,Gujarat State Petronet,265, Dolat Capital Market,GSPL.NS,232.3999938964844,232.3999938964844
214,"February 12, 2021",Accumulate,Page Industries,32552, Dolat Capital Market,PAGEIND.NS,30692.19921875,30692.19921875
215,"February 12, 2021",Accumulate,Mahanagar Gas,1251, Dolat Capital Market,MGL.NS,1140.550048828125,1140.550048828125
216,"February 12, 2021",Accumulate,Varroc Engineering,459, Dolat Capital Market,VARROC.NS,394.5499877929688,394.5499877929688
217,"February 12, 2021",Accumulate,Gulf Oil Lubricants,822, Dolat Capital Market,GULFOILLUB.NS,729.2999877929688,729.2999877929688
218,"February 12, 2021",Accumulate,Jamna Auto Industries,80, Dolat Capital Market,JAMNAAUTO.NS,68.19999694824219,68.19999694824219
219,"February 12, 2021",Buy,Indian Hotels,144, Dolat Capital Market,INDHOTEL.NS,129.14999389648438,129.14999389648438
220,"February 12, 2021",Buy,Balrampur Chini Mills,237, Dolat Capital Market,BALRAMCHIN.NS,158.25,158.25
221,"February 12, 2021",Buy,NTPC,145, Dolat Capital Market,NTPC.NS,95.9499969482422,95.9499969482422
222,"February 12, 2021",Buy,Apollo Tyres,300, Dolat Capital Market,APOLLOTYRE.NS,239.6000061035156,239.6000061035156
223,"February 12, 2021",Buy,Bharti Airtel,701, Dolat Capital Market,BHARTIARTL.NS,586.25,586.25
224,"February 12, 2021",Buy,Dalmia Bharat,1495, Motilal Oswal,DALMIASUG.NS,142.14999389648438,142.14999389648438
225,"February 12, 2021",Buy,Coromandel International,1071, Motilal Oswal,COROMANDEL.NS,756.25,756.25
226,"February 12, 2021",Buy,Container Corporation,555, Motilal Oswal,CONCOR.NS,549.5,549.5
228,"February 12, 2021",Buy,Cadila Healthcare,550, Motilal Oswal,CADILAHC.NS,468.0499877929688,468.0499877929688
229,"February 12, 2021",Buy,Brigade Enterprises,324, Motilal Oswal,BRIGADE.NS,288.6499938964844,288.6499938964844
230,"February 12, 2021",Buy,Aditya Birla Capital,140, Motilal Oswal,ABCAPITAL.NS,88.69999694824219,88.69999694824219
232,"February 11, 2021",Buy,TCI Express,1150, Sharekhan,TCIEXP.NS,979.5999755859376,979.5999755859376
233,"February 11, 2021",Buy,City Union Bank,192, HDFC Securities,CUB.NS,164.0,164.0
234,"February 11, 2021",Buy,Tata Motors,315, HDFC Securities,TATAMTRDVR.NS,133.14999389648438,133.14999389648438
235,"February 11, 2021",Buy,Tech Mahindra,1110, HDFC Securities,TECHM.NS,985.5999755859376,985.5999755859376
236,"February 11, 2021",Buy,Century Plyboards (India),340, Sharekhan,CENTURYPLY.NS,299.8999938964844,299.8999938964844
237,"February 11, 2021",Buy,Persistent Systems,1900, HDFC Securities,PERSISTENT.NS,1761.550048828125,1761.550048828125
238,"February 11, 2021",Buy,Subros,410, HDFC Securities,SUBROS.NS,320.1499938964844,320.1499938964844
239,"February 11, 2021",Buy,Century Plyboards (India),340, Sharekhan,CENTURYPLY.NS,299.8999938964844,299.8999938964844
240,"February 11, 2021",Buy,Persistent Systems,1900, HDFC Securities,PERSISTENT.NS,1761.550048828125,1761.550048828125
241,"February 11, 2021",Buy,Subros,410, HDFC Securities,SUBROS.NS,320.1499938964844,320.1499938964844
242,"February 11, 2021",Buy,ICICI Lombard General Insurance Co,1591, Geojit,ICICIGI.NS,1497.800048828125,1497.800048828125
243,"February 11, 2021",Buy,City Union Bank,208, Geojit,CUB.NS,164.0,164.0
244,"February 11, 2021",Buy,Nitin Spinners,152, East India Securities,NITINSPIN.NS,71.25,71.25
245,"February 11, 2021",Buy,Mahanagar Gas,1380, Sharekhan,MGL.NS,1163.6500244140625,1163.6500244140625
246,"February 11, 2021",Buy,Orient Electric,335 , Arihant Capital,ORIENTELEC.NS,275.0,275.0
248,"February 11, 2021",Buy,Bata India,1765, Sharekhan,BATAINDIA.NS,1531.449951171875,1531.449951171875
249,"February 11, 2021",Buy,Max Financial Services,1000, Sharekhan,MFSL.NS,817.75,817.75
250,"February 11, 2021",Buy,Indraprastha Gas,650, Sharekhan,IGL.NS,569.0499877929688,569.0499877929688
251,"February 11, 2021",Buy,GAIL (India),155, Sharekhan,GAIL.NS,136.44999694824222,136.44999694824222
252,"February 11, 2021",Buy,Titan Company,1710, Sharekhan,TITAN.NS,1524.699951171875,1524.699951171875
254,"February 11, 2021",Buy,Abbott India,19425, Sharekhan,ABBOTINDIA.NS,14434.5,14434.5
255,"February 11, 2021",Buy,Bharat Petroleum Corporation,520, Sharekhan,BPCL.NS,421.95001220703125,421.95001220703125
256,"February 11, 2021",Buy,Aditya Birla Fashion and Retail,200, Sharekhan,ABFRL.NS,167.85000610351562,167.85000610351562
257,"February 11, 2021",Buy,Ashoka Buildcon,125, Sharekhan,ASHOKA.NS,110.9000015258789,110.9000015258789
258,"February 11, 2021",Buy,Insecticides (India),590, Sharekhan,INSECTICID.NS,468.75,468.75
259,"February 11, 2021",Buy,Affle (India),5000, Sharekhan,AFFLE.NS,5092.5498046875,5092.5498046875
260,"February 11, 2021",Buy,Britannia Industries,4200, Sharekhan,BRITANNIA.NS,3462.75,3462.75
261,"February 11, 2021",Buy,Godrej Consumer Products,850, Sharekhan,GODREJCP.NS,758.75,758.75
262,"February 11, 2021",Buy,Firstsource Solutions,121, Anand Rathi,FSL.NS,98.1500015258789,98.1500015258789
263,"February 11, 2021",Buy,Ashoka Buildcon,147, Anand Rathi,ASHOKA.NS,110.9000015258789,110.9000015258789
265,"February 11, 2021",Buy,Dalmia Bharat,1650, Anand Rathi,DALMIASUG.NS,140.9499969482422,140.9499969482422
266,"February 11, 2021",Buy,PNC Infratech,311, Anand Rathi,PNCINFRA.NS,284.29998779296875,284.29998779296875
267,"February 11, 2021",Buy,Minda Industries,602, Anand Rathi,MINDAIND.NS,600.7000122070312,600.7000122070312
268,"February 11, 2021",Buy,Dixon Technologies,"19,578", Anand Rathi,DIXON.NS,3887.8798828125,3887.8798828125
269,"February 11, 2021",Buy,JK Lakshmi Cement,453, Anand Rathi,JKLAKSHMI.NS,371.6000061035156,371.6000061035156
270,"February 11, 2021",Buy,Visaka Industries,572, Anand Rathi,VISAKAIND.NS,477.95001220703125,477.95001220703125
